year,gender,event,winner,time,seconds,course_record
2024,men,90+ Singles 90+ years old,Christopher Collins,35:27.307,2127.307,False
2009,men,Alumni Eights,Northeastern University Rowing Alumni,15:13.543,913.543,False
2010,men,Alumni Eights,Northeastern University Rowing Alumni,15:32.673,932.673,False
2011,men,Alumni Eights,Northeastern University Rowing Alumni,15:27.931,927.931,False
2012,men,Alumni Eights,Northeastern Rowing Alumni,14:49.25,889.25,True
2013,men,Alumni Eights,Friends of Georgetown Rowing,14:49.645,889.645,False
2014,men,Alumni Eights,Northeastern University Rowing Alumni,14:53.351,893.351,False
2015,men,Alumni Eights,Northeastern University Rowing Alumni,15:45.285,945.285,False
2016,men,Alumni Eights,Michigan Rowing Association Alumni,14:48.253,888.253,True
2017,men,Alumni Eights,BMA Boat Club,14:42.019,882.019,True
2018,men,Alumni Eights,BMA Boat Club,15:11.801,911.801,False
2019,men,Alumni Eights,Michigan Rowing Association Alumni,14:47.413,887.413,False
2021,men,Alumni Eights,University of Washington Alumni,14:35.782,875.782,True
2022,men,Alumni Eights,UW Alumni,14:30.823,870.823,True
2023,men,Alumni Eights,Ex Nemo,14:14.912,854.912,True
2024,men,Alumni Eights,UW Alumni,14:07.670,847.67,True
2025,men,Alumni Eights,Brown Alumni,14:21.595,861.595,False
2021,men,Alumni Fours,BMA Boat Club,17:04.465,1024.465,True
2022,men,Alumni Fours,Delaware Men's Alumni,16:08.787,968.787,True
2023,men,Alumni Fours,BMA,16:15.553,975.553,False
2024,men,Alumni Fours,Crabtree,16:37.650,997.65,False
2025,men,Alumni Fours,Brock RC,16:32.985,992.985,False
1968,men,Championship Doubles,Spuyten Buyvill RC,22:44.7,1364.7,True
1970,men,Championship Doubles,Cambridge BC,17:34.0,1054.0,True
1971,men,Championship Doubles,New York A.C.,17:07.0,1027.0,True
1972,men,Championship Doubles,New York A.C.,17:04.3,1024.3,True
1973,men,Championship Doubles,New York A.C.,17:35.0,1055.0,False
1974,men,Championship Doubles,New York A.C.,17:38.9,1058.9,False
1975,men,Championship Doubles,New York A.C.,17:46.8,1066.8,False
1976,men,Championship Doubles,Riverside BC,17:14.2,1034.2,False
1977,men,Championship Doubles,Harvard Univ.,17:41.0,1061.0,False
1978,men,Championship Doubles,New York A.C.,17:17.1,1037.1,False
1979,men,Championship Doubles,Harvard Univ.,17:01.5,1021.5,True
1980,men,Championship Doubles,Victoria City RC,17:35.1,1055.1,False
1981,men,Championship Doubles,New York A.C.,16:59.2,1019.2,True
1982,men,Championship Doubles,New York A.C.,16:28.1,988.1,False
1983,men,Championship Doubles,Harvard Univ.,16:25.4,985.4,False
1984,men,Championship Doubles,Harvard Univ.,16:24.5,984.5,True
1985,men,Championship Doubles,Ridley Grad. BC,17:22.1,1042.1,False
1986,men,Championship Doubles,Yale Old Fel. Ra,16:39.4,999.4,False
1987,men,Championship Doubles,Ridley Grad BC,16:53.4,1013.4,False
1988,men,Championship Doubles,Yale Old Fel. Ra,17:27.2,1047.2,False
1989,men,Championship Doubles,Craftsbury Sc.,18:40.8,1120.8,False
1990,men,Championship Doubles,Fredericton,17:15.7,1035.7,False
1991,men,Championship Doubles,Durham BC,17:16.9,1036.9,False
1992,men,Championship Doubles,Boston RC,16:01.2,961.2,True
1993,men,Championship Doubles,Boston RC,16:54.4,1014.4,False
1994,men,Championship Doubles,Ridley Graduate BC,16:35.0,995.0,False
1995,men,Championship Doubles,Boston RC,16:54.4,1014.4,False
1997,men,Championship Doubles,New York A.C.,16:32.0,992.0,False
1998,men,Championship Doubles,New York A.C.,16:42.06,1002.06,False
1999,men,Championship Doubles,New York A.C.,17:21.11,1041.11,False
2000,men,Championship Doubles,Ridley Graduate BC,17:28.29,1048.29,False
2001,men,Championship Doubles,London Training Ctr.,16:54.279,1014.279,False
2002,men,Championship Doubles,"S. Smolders, B. Hendrickx",17:34.820,1054.82,False
2003,men,Championship Doubles,"J. Burns, B. Martin-Doyle",16:38.387,998.387,False
2005,men,Championship Doubles,"A. Kroeker, N. Swick",16:42.342,1002.342,False
2006,men,Championship Doubles,"S. Stitt, S. DuRoss",17:54.727,1074.727,False
2007,men,Championship Doubles,"S. Stitt, S. DuRoss",16:32.264,992.264,False
2008,men,Championship Doubles,"A. Liverman, P. Graves",16:05.500,965.5,False
2009,men,Championship Doubles,"P. Graves, T. Graves",16:10.931,970.931,False
2010,men,Championship Doubles,"P. Graves, T. Graves",17:06.053,1026.053,False
2011,men,Championship Doubles,"P. Graves, T. Graves",16:26.856,986.856,False
2012,men,Championship Doubles,"I. Cop, O. Tuft",16:12,972.0,False
2013,men,Championship Doubles,"S. Stitt, M. Miller",15:51.988,951.988,True
2014,men,Championship Doubles,"V. Sinkovic, M. Sinkovic",15:40.566,940.566,True
2015,men,Championship Doubles,"S. Stitt, W. Cowles",17:01.955,1021.955,False
2016,men,Championship Doubles,"J. Keen, E. Frid",16:58.899,1018.899,False
2017,men,Championship Doubles,"J. Keen, E. Frid",16:35.304,995.304,False
2018,men,Championship Doubles,"N. Lado, W. Vear",17:02.285,1022.285,False
2019,men,Championship Doubles,"T. Phifer, T. Babiec",16:44.918,1004.918,False
2021,men,Championship Doubles,"D. Williams, S. Koszyk",16:52.376,1012.376,False
2022,men,Championship Doubles,"J. Gelsen, M. Weber",16:01.349,961.349,False
2023,men,Championship Doubles,"O. Costly, R. Harris",16:09.343,969.343,False
2024,men,Championship Doubles,"V. Sinkovic, M. Sinkovic",15:55.103,955.103,False
2025,men,Championship Doubles,"P. Doyle, F. Mccarthy",16:02.221,962.221,False
1965,men,Championship Eights,Potomac BC,15:48.0,948.0,True
1966,men,Championship Eights,Univ. of Wisconsin,16:36.3,996.3,False
1967,men,Championship Eights,Vesper BC,16:24.8,984.8,False
1968,men,Championship Eights,Northeastern Univ.,16:06.7,966.7,False
1970,men,Championship Eights,N.U. & Union (Tie),15:28.2,928.2,True
1971,men,Championship Eights,Union BC,14:53.4,893.4,True
1972,men,Championship Eights,Univ. Of Wisconsin,15:33.1,933.1,False
1973,men,Championship Eights,Univ. Of Wisconsin,14:53.9,893.9,False
1974,men,Championship Eights,Cornell Univ.,16:14.3,974.3,False
1975,men,Championship Eights,Vesper BC,15:33.1,933.1,False
1976,men,Championship Eights,Vesper BC,15:32.5,932.5,False
1977,men,Championship Eights,Harvard Univ.,15:51.2,951.2,False
1978,men,Championship Eights,Brown Univ.,15:36.6,936.6,False
1979,men,Championship Eights,Princeton Univ.,15:28.4,928.4,False
1980,men,Championship Eights,U.S.Naval Acad.,15:26.8,926.8,False
1981,men,Championship Eights,U.S.Naval Acad.,14:36.5,876.5,True
1982,men,Championship Eights,U.S.Naval Acad.,14:24.3,864.3,True
1983,men,Championship Eights,U.S.Naval Acad.,14:34.4,874.4,False
1984,men,Championship Eights,Ridley Grad. BC,14:33.1,873.1,False
1985,men,Championship Eights,Ridley Grad. BC,15:00.5,900.5,False
1986,men,Championship Eights,Ridley Grad. BC,14:20.2,860.2,True
1987,men,Championship Eights,Ridley Grad. BC,14:30.1,870.1,False
1988,men,Championship Eights,Penn AC,15:15.3,915.3,False
1989,men,Championship Eights,Penn AC,15:22.2,922.2,False
1990,men,Championship Eights,Penn AC,14:43.3,883.3,False
1991,men,Championship Eights,Penn AC,14:53.8,893.8,False
1992,men,Championship Eights,Vesper BC,14:07.6,847.6,True
1993,men,Championship Eights,Vesper BC,14:19.9,859.9,False
1994,men,Championship Eights,US Rowing,14:11.1,851.1,False
1995,men,Championship Eights,US Rowing,14:12.8,852.8,False
1997,men,Championship Eights,US Rowing,13:58.9,838.9,True
1998,men,Championship Eights,USRowing,14:09.65,849.65,False
1999,men,Championship Eights,USRowing,14:48.09,888.09,False
2000,men,Championship Eights,US Rowing,14:26.18,866.18,False
2001,men,Championship Eights,US Rowing,14:09.460,849.46,False
2002,men,Championship Eights,US Rowing,14:53.281,893.281,False
2003,men,Championship Eights,Princeton Training Center,14:30.401,870.401,False
2005,men,Championship Eights,Princeton Univ.,14:41.885,881.885,False
2006,men,Championship Eights,US Rowing,15:36.733,936.733,False
2007,men,Championship Eights,US Rowing,14:03.711,843.711,False
2008,men,Championship Eights,Univ. of Washington,14:28.100,868.1,False
2009,men,Championship Eights,Tideway Scullers,14:33.239,873.239,False
2010,men,Championship Eights,University of Washington,14:00.402,840.402,False
2011,men,Championship Eights,Harvard University,14:17.678,857.678,False
2012,men,Championship Eights,University of Washington,14:37.27,877.27,False
2013,men,Championship Eights,OTC Amsterdam,14:41.171,881.171,False
2014,men,Championship Eights,Craftsbury Sculling Center,14:20.239,860.239,False
2015,men,Championship Eights,Yale University Crew,14:18.970,858.97,False
2016,men,Championship Eights,University of Washington,14:40.823,880.823,False
2017,men,Championship Eights,University of California Berkeley,13:27.469,807.469,True
2018,men,Championship Eights,USRowing,14:49.616,889.616,False
2019,men,Championship Eights,USRowing,13:32.283,812.283,False
2021,men,Championship Eights,University of Washington,13:59.432,839.432,False
2022,men,Championship Eights,USRowing,13:23.638,803.638,True
2023,men,Championship Eights,USRowing,14:21.48,861.48,False
2024,men,Championship Eights,Cambridge,13:46.333,826.333,False
2025,men,Championship Eights,Cambridge,13:41.692,821.692,False
1965,men,Championship Fours,Penn AC,18:14.0,1094.0,True
1966,men,Championship Fours,Harvard Univ.,18:38.9,1118.9,False
1967,men,Championship Fours,Lowell House,18:07.9,1087.9,True
1968,men,Championship Fours,Yale Univ.,18:12.8,1092.8,False
1970,men,Championship Fours,Brown Univ.,16:57.2,1017.2,True
1971,men,Championship Fours,Harvard Univ.,16:28.3,988.3,False
1972,men,Championship Fours,M.I.T. BC,17:05.7,1025.7,False
1973,men,Championship Fours,Harvard Univ.,17:17.1,1037.1,False
1974,men,Championship Fours,Potomac BC,17:37.8,1057.8,False
1975,men,Championship Fours,Vesper BC,18:04.5,1084.5,False
1976,men,Championship Fours,Vesper BC,17:28.4,1048.4,False
1977,men,Championship Fours,Univ. of Penn,17:47.1,1067.1,False
1978,men,Championship Fours,Yale Univ.,17:12.0,1032.0,False
1979,men,Championship Fours,Yale Univ.,16:38.4,998.4,False
1980,men,Championship Fours,Vesper BC,17:39.6,1059.6,False
1981,men,Championship Fours,Vesper BC,16:43.0,1003.0,False
1982,men,Championship Fours,Charles River Ra,16:00.9,960.9,True
1983,men,Championship Fours,Charles River Ra,15:57.3,957.3,True
1984,men,Championship Fours,Vesper BC,15:39.9,939.9,True
1985,men,Championship Fours,Vesper BC,16:33.9,993.9,False
1986,men,Championship Fours,Charles River Ra,16:22.2,982.2,False
1987,men,Championship Fours,Univ. Of W. Ontario,16:32.3,992.3,False
1988,men,Championship Fours,Charles River Ra,16:38.4,998.4,False
1989,men,Championship Fours,Charles River Ra,17:13.4,1033.4,False
1990,men,Championship Fours,Rude & Smooth BC,16:31.1,991.1,False
1991,men,Championship Fours,Rude & Smooth BC,16:31.0,991.0,False
1992,men,Championship Fours,McGill Univ.,15:59.3,959.3,False
1993,men,Championship Fours,McGill Univ.,16:40.3,1000.3,False
1994,men,Championship Fours,McGill Univ.,15:52.2,952.2,False
1995,men,Championship Fours,McGill Univ.,16:12.2,972.2,False
1997,men,Championship Fours,Princeton TC,15:34.4,934.4,True
1998,men,Championship Fours,Princeton TC,15:55.38,955.38,False
1999,men,Championship Fours,Princeton TC,16:16.96,976.96,False
2000,men,Championship Fours,Princeton TC,16:37.67,997.67,False
2001,men,Championship Fours,US Rowing,15:45.179,945.179,False
2002,men,Championship Fours,US Rowing,16:29.554,989.554,False
2003,men,Championship Fours,Victoria City RC,15:35.609,935.609,False
2005,men,Championship Fours,Thunderbird R. Center,16:19.722,979.722,False
2006,men,Championship Fours,Thunderbird R. Center,15:38.135,938.135,False
2007,men,Championship Fours,US Rowing,15:45.629,945.629,False
2008,men,Championship Fours,US Rowing,15:57.300,957.3,False
2009,men,Championship Fours,University of Wisconsin,16:26.294,986.294,False
2010,men,Championship Fours,US Rowing,15:49.586,949.586,False
2011,men,Championship Fours,University of Wisconsin,16:12.693,972.693,False
2012,men,Championship Fours,Stanford University Mens Crew,16:50.39,1010.39,False
2013,men,Championship Fours,Camp Randall Rowing Club,16:35.505,995.505,False
2014,men,Championship Fours,Camp Randall Rowing Club,16:13.153,973.153,False
2015,men,Championship Fours,Camp Randall Rowing Club,16:08.535,968.535,False
2016,men,Championship Fours,USRowing Training Center – Princeton,16:41.898,1001.898,False
2017,men,Championship Fours,USRowing Training Center – Princeton,15:07.442,907.442,True
2018,men,Championship Fours,KNRB,17:10.194,1030.194,False
2019,men,Championship Fours,Fiamme Gialle,15:48.855,948.855,False
2021,men,Championship Fours,US Training Center - Oakland,15:34.079,934.079,False
2022,men,Championship Fours,Peloton,15:17.376,917.376,False
2023,men,Championship Fours,Princeton,16:33.467,993.467,False
2024,men,Championship Fours,Washington,15:34.721,934.721,False
2025,men,Championship Fours,Washington,15:15.844,915.844,False
1965,men,Championship Singles,Robert Arlett,20:24.0,1224.0,True
1966,men,Championship Singles,James Dietz,20:57.1,1257.1,False
1967,men,Championship Singles,Paul Wilson,20:13.3,1213.3,True
1968,men,Championship Singles,Paul Wilson,19:52.2,1192.2,True
1970,men,Championship Singles,Paul Wilson,18:16.1,1096.1,True
1971,men,Championship Singles,James Dietz,17:54.2,1074.2,True
1972,men,Championship Singles,James Dietz,18:32.3,1112.3,False
1973,men,Championship Singles,James Dietz,18:17.7,1097.7,False
1974,men,Championship Singles,James Dietz,19:37.3,1177.3,False
1975,men,Championship Singles,James Dietz,18:55.4,1135.4,False
1976,men,Championship Singles,James Dietz,18:46.1,1126.1,False
1977,men,Championship Singles,"Greg Stone, III",19:23.7,1163.7,False
1978,men,Championship Singles,Peter Cortez,19:12.5,1152.5,False
1979,men,Championship Singles,Christopher Wood,18:36.5,1116.5,False
1980,men,Championship Singles,Christopher Wood,19:21.9,1161.9,False
1981,men,Championship Singles,Christopher Wood,18:15.1,1095.1,False
1982,men,Championship Singles,John Biglow,17:29.8,1049.8,True
1983,men,Championship Singles,Joseph Bouscaren,17:37.3,1057.3,False
1984,men,Championship Singles,Andrew Sudduth,17:48.1,1068.1,False
1985,men,Championship Singles,Andrew Sudduth,18:38.2,1118.2,False
1986,men,Championship Singles,Andrew Sudduth,17:53.1,1073.1,False
1987,men,Championship Singles,Andrew Sudduth,17:59.6,1079.6,False
1988,men,Championship Singles,Andrew Sudduth,19:02.8,1142.8,False
1989,men,Championship Singles,Greg Walker,19:36.1,1176.1,False
1990,men,Championship Singles,James Moulton,18:28.4,1108.4,False
1991,men,Championship Singles,Greg Walker,18:59.7,1139.7,False
1992,men,Championship Singles,Greg Walker,17:42.4,1062.4,False
1993,men,Championship Singles,Greg Walker,18:23.4,1103.4,False
1994,men,Championship Singles,Xeno Mueller,17:47.0,1067.0,False
1995,men,Championship Singles,John Riley,18:00.9,1080.9,False
1997,men,Championship Singles,Jamie Koven,17:31.4,1051.4,False
1998,men,Championship Singles,Jamie Koven,17:59.07,1079.07,False
1999,men,Championship Singles,Donald Smith,18:24.22,1104.22,False
2000,men,Championship Singles,Rob Waddell,18:20.89,1100.89,False
2001,men,Championship Singles,Duncan Free,17:55.256,1075.256,False
2002,men,Championship Singles,Duncan Free,18:11.519,1091.519,False
2003,men,Championship Singles,Jonathan Beare,18:17.745,1097.745,False
2005,men,Championship Singles,Mahe Drysdale,17:54.659,1074.659,False
2006,men,Championship Singles,Santiago Fernandez,18:40.166,1120.166,False
2007,men,Championship Singles,Malcolm Howard,17:39.445,1059.445,False
2008,men,Championship Singles,Nathan Cohen,17:33.000,1053.0,False
2009,men,Championship Singles,Michael Sivigny,18:01.095,1081.095,False
2010,men,Championship Singles,Michael Sivigny,18:45.967,1125.967,False
2011,men,Championship Singles,Mahe Drysdale,17:57.325,1077.325,False
2012,men,Championship Singles,Kjetil Borch,17:56.53,1076.53,False
2013,men,Championship Singles,Kjetil Borch,17:12.313,1032.313,True
2014,men,Championship Singles,Andrew Campbell,17:11.646,1031.646,True
2015,men,Championship Singles,Mahe Drysdale,18:11.966,1091.966,False
2016,men,Championship Singles,Kjetil Borch,18:26.429,1106.429,False
2017,men,Championship Singles,Michael Schmid,17:56.416,1076.416,False
2018,men,Championship Singles,Ben Davison,17:55.117,1075.117,False
2019,men,Championship Singles,John Graves,17:45.404,1065.404,False
2021,men,Championship Singles,Ben Davison,17:34.569,1054.569,False
2022,men,Championship Singles,Ezra Carlson,17:28.753,1048.753,False
2023,men,Championship Singles,Sorin Koszyk,16:57.782,1017.782,True
2024,men,Championship Singles,Finn Hamill,17:05.470,1025.47,False
2025,men,Championship Singles,Finn Hamill,17:04.528,1024.528,False
1965,men,Club Eights,Lowell Tech. Inst.,17:38.0,1058.0,True
1966,men,Club Eights,Vesper BC,18:14.8,1094.8,False
1967,men,Club Eights,Syracuse Alumni Ra,17:24.7,1044.7,True
1968,men,Club Eights,Dartmouth Coll.,17:53.4,1073.4,False
1970,men,Club Eights,Marist Coll.,16:00.3,960.3,True
1971,men,Club Eights,Winthrop House,15:48.1,948.1,True
1972,men,Club Eights,U.S.C.G. Acad.,15:48.1,948.1,False
1973,men,Club Eights,U.S.C.G. Acad.,16:20.6,980.6,False
1974,men,Club Eights,Syracuse Alumni Ra,16:44.4,1004.4,False
1975,men,Club Eights,Yale Univ.,16:12.6,972.6,False
1976,men,Club Eights,U.S.C.G. Acad.,15:59.8,959.8,False
1977,men,Club Eights,U.S.C.G. Acad.,16:53.0,1013.0,False
1978,men,Club Eights,U.S. Naval Acad.,16:26.6,986.6,False
1979,men,Club Eights,U.S. Naval Acad.,16:18.9,978.9,False
1980,men,Club Eights,U. Of New Hampshire,16:01.0,961.0,False
1981,men,Club Eights,U. Of New Hampshire,16:03.5,963.5,False
1982,men,Club Eights,Northeastern Univ.,15:15.5,915.5,True
1983,men,Club Eights,Northeastern Univ.,15:32.7,932.7,False
1984,men,Club Eights,Temple Univ.,15:14.6,914.6,True
1985,men,Club Eights,Harvard Univ.,16:14.3,974.3,False
1986,men,Club Eights,Harvard Univ.,15:29.6,929.6,False
1987,men,Club Eights,Boston Univ.,15:24.5,924.5,False
1988,men,Club Eights,M.I.T. BC,16:27.9,987.9,False
1989,men,Club Eights,Tideway Scullers,16:07.1,967.1,False
1990,men,Club Eights,Peterborough RC,15:53.5,953.5,False
1991,men,Club Eights,New Haven RC,16:12.4,972.4,False
1992,men,Club Eights,M.I.T. BC,15:33.7,933.7,False
1993,men,Club Eights,Penn AC,15:16.0,916.0,False
1994,men,Club Eights,M.I.T. BC,15:30.8,930.8,False
1995,men,Club Eights,Penn AC,15:16.9,916.9,False
1997,men,Club Eights,Onota Lake Ra,14:56.4,896.4,True
1998,men,Club Eights,Tideway Sculler’s,15:30.0,930.0,False
1999,men,Club Eights,Harvard University,16:20.80,980.8,False
2000,men,Club Eights,Marin BC,15:40.14,940.14,False
2001,men,Club Eights,Drummoyne RC,15:01.392,901.392,False
2002,men,Club Eights,ASR Nereus,15:26.502,926.502,False
2003,men,Club Eights,Melbourne Univ. BC,15:13.093,913.093,False
2005,men,Club Eights,ASR Nereus,15:20.656,920.656,False
2006,men,Club Eights,BMA BC,16:04.007,964.007,False
2007,men,Club Eights,Harvard University,15:01.799,901.799,False
2008,men,Club Eights,Harvard University,15:04.000,904.0,False
2009,men,Club Eights,Yale University Crew,15:22.613,922.613,False
2010,men,Club Eights,Harvard University,15:09.811,909.811,False
2011,men,Club Eights,Brown University Men’s Crew,15:20.879,920.879,False
2012,men,Club Eights,Brown University Crew,14:41.27,881.27,True
2013,men,Club Eights,Brown University Crew,14:26.767,866.767,True
2014,men,Club Eights,Northeastern University,14:35.768,875.768,False
2015,men,Club Eights,Brown University Crew,15:04.950,904.95,False
2016,men,Club Eights,Harvard University Crew,14:58.331,898.331,False
2017,men,Club Eights,BU Men,14:32.582,872.582,False
2018,men,Club Eights,Harvard U,14:46.851,886.851,False
2019,men,Club Eights,Harvard U,14:36.116,876.116,False
2021,men,Club Eights,Brown Univ.,14:26.072,866.072,True
2022,men,Club Eights,Harvard U,14:20.881,860.881,True
2023,men,Club Eights,Brown,14:13.412,853.412,True
2024,men,Club Eights,Dartmouth,14:18.752,858.752,False
2025,men,Club Eights,Dartmouth,14:21.861,861.861,False
1965,men,Club Fours,Lowell Tech. Inst.,20:15.0,1215.0,True
1966,men,Club Fours,Northeastern Univ.,20:07.9,1207.9,True
1967,men,Club Fours,M.I.T. BC,19:41.9,1181.9,True
1968,men,Club Fours,Brown Univ.,20:38.4,1238.4,False
1970,men,Club Fours,Lowell Tech. Inst.,17:55.5,1075.5,True
1971,men,Club Fours,Dartmouth Coll.,17:19.3,1039.3,True
1972,men,Club Fours,Univ. Of Virginia,17:47.5,1067.5,False
1973,men,Club Fours,Harvard Univ.,18:29.2,1109.2,False
1974,men,Club Fours,Boston Univ.,18:29.2,1109.2,False
1975,men,Club Fours,Yale Univ.,18:20.7,1100.7,False
1976,men,Club Fours,Upper Canada Coll.,17:45.0,1065.0,False
1977,men,Club Fours,Yale Univ.,18:57.1,1137.1,False
1987,men,Club Fours,Fairmount Ra,17:31.9,1051.9,False
1988,men,Club Fours,Fairmount Ra,18:25.0,1105.0,False
1989,men,Club Fours,Syracuse Chargers,17:56.4,1076.4,False
1990,men,Club Fours,Rollins Coll.,17:37.9,1057.9,False
1991,men,Club Fours,Palm Beach Ra,18:31.0,1111.0,False
1992,men,Club Fours,Milwaukee RC,17:11.2,1031.2,True
1993,men,Club Fours,Club De Regatas,16:42.3,1002.3,True
1994,men,Club Fours,Bulldog RC,16:41.9,1001.9,True
1995,men,Club Fours,Bulldog RC,16:49.9,1009.9,False
1997,men,Club Fours,St. Paul’s School,16:52.1,1012.1,False
1998,men,Club Fours,Palm Beach RA,17:02.06,1022.06,False
1999,men,Club Fours,San Diego RC,18:09.61,1089.61,False
2000,men,Club Fours,Lincoln Park BC,17:30.15,1050.15,False
2001,men,Club Fours,Union BC,17:18.390,1038.39,False
2002,men,Club Fours,Charles River RA,16:33.879,993.879,True
2003,men,Club Fours,Union Boat Club,17:10.474,1030.474,False
2005,men,Club Fours,Union Boat Club,17:20.485,1040.485,False
2006,men,Club Fours,Riverside Boat Club,18:00.457,1080.457,False
2007,men,Club Fours,Big Foot Moving BC,16:41.75,1001.75,False
2008,men,Club Fours,Riverside Boat Club,16:53.5001,1013.5,False
2009,men,Club Fours,McGill University,17:19.146,1039.146,False
2010,men,Club Fours,Peterborough Rowing Club,16:57.556,1017.556,False
2011,men,Club Fours,Peterborough Rowing Club,17:28.207,1048.207,False
2012,men,Club Fours,Union Boat Club,16:49.16,1009.16,False
2013,men,Club Fours,Union Boat Club,16:05.311,965.311,True
2014,men,Club Fours,Union Boat Club,16:15.995,975.995,False
2015,men,Club Fours,Union Boat Club,16:54.541,1014.541,False
2016,men,Club Fours,Dartmouth College Rowing,16:57.863,1017.863,False
2017,men,Club Fours,Riverside,16:22.856,982.856,False
2018,men,Club Fours,Dartmouth,16:57.370,1017.37,False
2019,men,Club Fours,Dartmouth,16:44.599,1004.599,False
2021,men,Club Fours,Harvard Univ.,16:36.642,996.642,False
2022,men,Club Fours,Riverfront Recapture,16:38.500,998.5,False
2023,men,Club Fours,Dartmouth,16:01.965,961.965,True
2024,men,Club Fours,Dartmouth,16:18.547,978.547,False
2025,men,Club Fours,Calgary Rowing Club,16:16.159,976.159,False
1965,men,Club Singles,W.Kellett,20:41.0,1241.0,True
1966,men,Club Singles,J.Eich,22:16.3,1336.3,False
1967,men,Club Singles,A. Larkin,21:31.7,1291.7,False
1968,men,Club Singles,K. Lynch,21:32.9,1292.9,False
1970,men,Club Singles,J. Sheetz,19:25.1,1165.1,True
1971,men,Club Singles,B. Miller,19:08.3,1148.3,True
1972,men,Club Singles,J. Baker,19:10.4,1150.4,False
1973,men,Club Singles,S. Killen,20:03.3,1203.3,False
1974,men,Club Singles,R. Freed,21:01.3,1261.3,False
1975,men,Club Singles,E. Meyers,20:01.4,1201.4,False
1976,men,Club Singles,G. Montesi,19:25.6,1165.6,False
1977,men,Club Singles,P. Billings,21:23.8,1283.8,False
1978,men,Club Singles,D. London,20:26.8,1226.8,False
1979,men,Club Singles,M. Leblanc,20:26.8,1226.8,False
1980,men,Club Singles,A. Sudduth,19:45.3,1185.3,False
1981,men,Club Singles,F. Murphy,19:25.1,1165.1,False
1982,men,Club Singles,M. Fiorio,19:10.8,1150.8,False
1983,men,Club Singles,G. Fiorio,18:39.6,1119.6,True
1984,men,Club Singles,W. Phelps,18:52.3,1132.3,False
1985,men,Club Singles,J. Crowley,20:12.8,1212.8,False
1987,men,Club Singles,M. Hindery,18:59.3,1139.3,False
1988,men,Club Singles,M. Richardson-Bach,19:44.9,1184.9,False
1989,men,Club Singles,T. Elwood,19:46.6,1186.6,False
1990,men,Club Singles,C. Losee,20:13.1,1213.1,False
1991,men,Club Singles,J. Reavis,20:41.4,1241.4,False
1992,men,Club Singles,J. Murray,18:58.2,1138.2,False
1993,men,Club Singles,S. Hall,18:49.0,1129.0,False
1994,men,Club Singles,O. Diviney,18:48.1,1128.1,False
1995,men,Club Singles,P. Vondra,18:47.6,1127.6,False
1997,men,Club Singles,N. Keohane,18:17.14,1097.14,True
1998,men,Club Singles,A. Zosuls,19:02.94,1142.94,False
1999,men,Club Singles,K. Smack,19:51.77,1191.77,False
2000,men,Club Singles,S. O’Mara,19:37.81,1177.81,False
2001,men,Club Singles,M. Watkin,19:14.136,1154.136,False
2002,men,Club Singles,J. Curran,19:40.515,1180.515,False
2003,men,Club Singles,John L. Williams,19:39.696,1179.696,False
2005,men,Club Singles,Charles Burckmyer,19:05.785,1145.785,False
2006,men,Club Singles,Jason Rose,19:22.933,1162.933,False
2007,men,Club Singles,Igor Belakovskiy,19:07.228,1147.228,False
2008,men,Club Singles,Philip Kaiser,19:02.100,1142.1,False
2009,men,Club Singles,Christopher Storm,18:57.522,1137.522,False
2010,men,Club Singles,Hugh Mackworth-Praed,19:45.039,1185.039,False
2011,men,Club Singles,David Judah,19:37.341,1177.341,False
2012,men,Club Singles,Adam Bliss,18:20.5,1100.5,False
2013,men,Club Singles,Taylor Perry,18:54.066,1134.066,False
2014,men,Club Singles,Samuel Tieben,19:22.832,1162.832,False
2015,men,Club Singles,Brendan McEwan,19:02.921,1142.921,False
2016,men,Club Singles,Leon Chambers,19:26.192,1166.192,False
2017,men,Club Singles,Luke Rein,18:00.179,1080.179,True
2018,men,Club Singles,Matt Schaeffer,18:52.944,1132.944,False
2019,men,Club Singles,Brian Wettach,18:37.308,1117.308,False
2021,men,Club Singles,Jack Reid,18:15.643,1095.643,False
2022,men,Club Singles,Adriaan Venter,17:57.092,1077.092,True
2023,men,Club Singles,Kieran Edwards,17:54.795,1074.795,True
2024,men,Club Singles,George Lawton,18:22.115,1102.115,False
2025,men,Club Singles,Victor Corja,18:14.724,1094.724,False
2002,men,Collegiate Eights,Hobart College,15:18.541,918.541,True
2003,men,Collegiate Eights,Minerva Rowing Club,15:19.036,919.036,False
2005,men,Collegiate Eights,Trinity College,15:58.714,958.714,False
2006,men,Collegiate Eights,Western RC,15:08.301,908.301,True
2007,men,Collegiate Eights,Trinity College,14:58.705,898.705,True
2008,men,Collegiate Eights,Williams College,15:11.500,911.5,False
2009,men,Collegiate Eights,Williams College,15:33.881,933.881,False
2010,men,Collegiate Eights,Florida Inst. of Tech.,14:43.373,883.373,True
2011,men,Collegiate Eights,Williams College,15:09.568,909.568,False
2012,men,Collegiate Eights,University of Virginia Rowing Association,15:34.2,934.2,False
2013,men,Collegiate Eights,Drexel University,15:22.279,922.279,False
2014,men,Collegiate Eights,Michigan Rowing Association,15:14.733,914.733,False
2015,men,Collegiate Eights,Hobart College,15:32.704,932.704,False
2016,men,Collegiate Eights,D.S.R.V. Laga,15:55.389,955.389,False
