year,name,uid,pdf
2016,Head of the American,E5C0F7CF320B083FFCFDDB41217F0644,data/raw/row2k\2016_head_of_the_american.pdf
2016,Head of the Schuylkill (Saturday),1CEFF166A2F59EF8CFB01BD16863ECB4,data/raw/row2k\2016_head_of_the_schuylkill_saturday.pdf
2016,Muskie Chase,1BC6B58F8A3AC3336C6FEA68AD1C7CDB,data/raw/row2k\2016_muskie_chase.pdf
2016,Head of the Colorado Regatta,CFE140949D80890A36B840DEA32234ED,data/raw/row2k\2016_head_of_the_colorado_regatta.pdf
2016,Head Of The Charles - Sunday,6547A9DF4DC7C3392058060F0A54E6F6,data/raw/row2k\2016_head_of_the_charles_sunday.pdf
2016,Head of the Spokane: Gonzaga vs. Washington State,336EE4D11E22826D109E62FF7E30E290,
2016,Head of the Spokane: Gonzaga vs. Washington State,3448BDC2FD8C1034F50C9392BA4AC036,
2016,Head Of The Charles - Saturday,C1F4C24A3992AF129183EA69F9508ED8,data/raw/row2k\2016_head_of_the_charles_saturday.pdf
2016,Head of the Hidden Dragon,EA4E233B39DAE6A3DD450D536F8BF433,data/raw/row2k\2016_head_of_the_hidden_dragon.pdf
2016,Occoquan Chase,FC873F984BD99C983FFC0791BEF63D72,data/raw/row2k\2016_occoquan_chase.pdf
2016,Head of the Estuary,13F7BD57C2AE465B2EC4878A0415D425,data/raw/row2k\2016_head_of_the_estuary.pdf
2016,Head of the Quinobequin,5DBD74ADA3D20534DFF5A0435D9018D5,data/raw/row2k\2016_head_of_the_quinobequin.pdf
2016,Head of the Indian Creek,ED98B8B7FC9C1E83F379A120C20C0BA9,data/raw/row2k\2016_head_of_the_indian_creek.pdf
2016,Head of the Niagara Wright,59317313159D24534E6F50D16BAFEC53,data/raw/row2k\2016_head_of_the_niagara_wright.pdf
2016,Head of the Passaic,A9B35A013F37888F98E724A98322AC88,data/raw/row2k\2016_head_of_the_passaic.pdf
2016,Head of the Kevin III,09CC20F395005C20659521611331306D,data/raw/row2k\2016_head_of_the_kevin_iii.pdf
2016,Occoquan Challenge,141B5C3C0CE6C4CC6CFFD61802E84E4F,data/raw/row2k\2016_occoquan_challenge.pdf
2016,Head of the Rock,724D9AF123BD189558DA8B79EBDF6561,data/raw/row2k\2016_head_of_the_rock.pdf
2016,Head of the Genesee - Sunday,F09F3C11024ACA8EB87AF3359C5CDFBE,data/raw/row2k\2016_head_of_the_genesee_sunday.pdf
2016,Head of the Grand (Sunday),BE752CD92D47E341B0D223D7C0E0EE84,
2016,Head of the James,77DBC23F27CEB99B4435D2DD53AB0338,data/raw/row2k\2016_head_of_the_james.pdf
2016,Tail of the Passaic,A703F2C70C524AE02B412132C642B941,data/raw/row2k\2016_tail_of_the_passaic.pdf
2016,Head of the Housatonic,5A68AA7F846B6B9CEBF4769DCFBBFFEA,data/raw/row2k\2016_head_of_the_housatonic.pdf
2016,Head of the Genesee - Saturday,8BDC535CF7861FE8C0C9E29CE33E0572,data/raw/row2k\2016_head_of_the_genesee_saturday.pdf
2016,Columbus Fall Classic,86D32856F5D045D896013FCFCF1780FD,data/raw/row2k\2016_columbus_fall_classic.pdf
2016,Mohawk Fall Classic Regatta,90D3901551839B685DA62CFD8A8CE720,data/raw/row2k\2016_mohawk_fall_classic_regatta.pdf
2016,Head of the Christina,F1EA46105E0AD81D9B5F937E24A50728,data/raw/row2k\2016_head_of_the_christina.pdf
2016,Tail of the Lake,6415A4D32A9E188BDB2BF8D10CED19C5,data/raw/row2k\2016_tail_of_the_lake.pdf
2016,Textile River Regatta,CADF3762E8F588DCDB36E1C1F145390A,data/raw/row2k\2016_textile_river_regatta.pdf
2016,Head of the Oklahoma (Sunday),F3D08D2EF2D1EBB5FB47816A4457C6A2,data/raw/row2k\2016_head_of_the_oklahoma_sunday.pdf
2016,Head of the Riverfront,FB5C2E6ECCE9E5D15A80A14F8CB87C1A,data/raw/row2k\2016_head_of_the_riverfront.pdf
2016,Tail of the Fox Regatta,369FF55BC4D15F71296F5AEE7265ABC7,data/raw/row2k\2016_tail_of_the_fox_regatta.pdf
2016,Head of the Oklahoma (Saturday),0DB5E4E57704763DF25390D4B3845182,data/raw/row2k\2016_head_of_the_oklahoma_saturday.pdf
2016,Head of the Rideau,CCAE82EDF2C1379ED588E342DBAA056D,data/raw/row2k\2016_head_of_the_rideau.pdf
2016,Head of the Androscoggin,A9611F918D4F5D6C16EA3D02C72F3B05,data/raw/row2k\2016_head_of_the_androscoggin.pdf
2016,Scullers Head of the Potomac,4C6D947C45E05EAE310ACB9CB0BB468C,data/raw/row2k\2016_scullers_head_of_the_potomac.pdf
2016,Mattawanakee Fall Classic,F3B0A25B67702881F22134F9861C9EC9,data/raw/row2k\2016_mattawanakee_fall_classic.pdf
2016,Tail of the Fish,6B8F40220E5C056BC707791212FAB002,data/raw/row2k\2016_tail_of_the_fish.pdf
2016,Head of the Merrimack Regatta,3CB9D51E686A2048C2C359E3306669DD,data/raw/row2k\2016_head_of_the_merrimack_regatta.pdf
2016,Head of the Seekonk,F885EA23DA12B42CFC3D496C96E42CE6,data/raw/row2k\2016_head_of_the_seekonk.pdf
2016,Head of the Kevin II,7321E110FA0374A638B7228BB6939A44,data/raw/row2k\2016_head_of_the_kevin_ii.pdf
2016,Tail of The Tiger,C6AA587A300BB4293B28E9CEA8D4B1F0,data/raw/row2k\2016_tail_of_the_tiger.pdf
2016,CRI Fall Classic,E6E75DFEDBDD948C4AFC6CC57AD5AAED,data/raw/row2k\2016_cri_fall_classic.pdf
2016,Tail of the Fox,5ED7A92C817815687E0257066EB2F64E,data/raw/row2k\2016_tail_of_the_fox.pdf
2016,Head of the Cuyahoga,D1392470A96BF5365996160391035F7A,data/raw/row2k\2016_head_of_the_cuyahoga.pdf
2016,Schuylkill Navy Regatta,ACE2624ABC664EBB6BE060A9B9320932,data/raw/row2k\2016_schuylkill_navy_regatta.pdf
2016,Greater Lawrence Rowing vs. Riverfront Recapture,8C92202E4DA60DA9620C10FC441F876E,
2016,Occoquan Sprints,C244EF8DDC0E09C341575DF66EF929B0,data/raw/row2k\2016_occoquan_sprints.pdf
2016,Women's Eights Head of the River Race,6621612,data/raw/row2k\2016_women_s_eights_head_of_the_river_race.pdf
2017,Head of the Harbor,39DFEB5C5F7D5DF0020C90D8E27FCA44,data/raw/row2k\2017_head_of_the_harbor.pdf
2017,Head of the Lagoon (Juniors),F63C647D1BF13834ECE2D534444A989D,data/raw/row2k\2017_head_of_the_lagoon_juniors.pdf
2017,San Diego Fall Classic,324A7622AA3A9AB3AE61C57798C2BAA1,data/raw/row2k\2017_san_diego_fall_classic.pdf
2017,Foot of the Charles,6D7F81E10ABE169C4D813F2C2A82304D,data/raw/row2k\2017_foot_of_the_charles.pdf
2017,Foot of the Charles,A21B3E82157B1E53FCF1E0D8D255D2B5,data/raw/row2k\2017_foot_of_the_charles.pdf
2017,Head of the Lagoon (Masters & Collegiate),242B84CBCB218AE3446A082BF4FFEC2A,data/raw/row2k\2017_head_of_the_lagoon_masters_collegiate.pdf
2017,Head of the South,B1F644169F3BC96419468F8F617835DA,data/raw/row2k\2017_head_of_the_south.pdf
2017,Head of the South - Points,2D7AE60FC363CCEA36A4E7D1D93393BC,data/raw/row2k\2017_head_of_the_south_points.pdf
2017,Philadelphia Frostbite Regatta,58237EDA3469D1788E637B53E8F2E330,data/raw/row2k\2017_philadelphia_frostbite_regatta.pdf
2017,Head of the Hooch - Sunday,EAAA3324330CD8AA4D483C5C735BA08A,data/raw/row2k\2017_head_of_the_hooch_sunday.pdf
2017,Hidden River Chase,4D7A1D60DDEF321F255B41F53EEAF0E4,data/raw/row2k\2017_hidden_river_chase.pdf
2017,Wichita Frostbite Regatta,5566D8C006CE3FDF12BD3523649D62D5,data/raw/row2k\2017_wichita_frostbite_regatta.pdf
2017,Head of the Marina,728A9461D51C8692F6D533D20EF32BD5,data/raw/row2k\2017_head_of_the_marina.pdf
2017,Rutgers Fall Classic,CE69C73AE5F3F6090ED6BC5EF25C8065,
2017,Head of the Hooch - Saturday,4EEE70A41B92EC1AF744F97583D5F238,data/raw/row2k\2017_head_of_the_hooch_saturday.pdf
2017,The Leelanau Chase,CD73EDAF4643CEDB8A99789D9F25BCA9,data/raw/row2k\2017_the_leelanau_chase.pdf
2017,Princeton Chase,ACE0672B00A7B08150741BE618E48153,data/raw/row2k\2017_princeton_chase.pdf
2017,Head of the Schuylkill - Sunday,36E09DEC266ABD29B9E9CD771C06D59E,data/raw/row2k\2017_head_of_the_schuylkill_sunday.pdf
2017,Head of the Schuylkill - Sunday,93F451EC319C34C6F979077C3EF224EF,data/raw/row2k\2017_head_of_the_schuylkill_sunday.pdf
2017,Head of the Fish - Sunday,8D038EE3F73028C6A10E12E80CF97A7D,data/raw/row2k\2017_head_of_the_fish_sunday.pdf
2017,Head of the Fish - Saturday,1BA92BBC105827281ECB6F77F1C874BA,data/raw/row2k\2017_head_of_the_fish_saturday.pdf
2017,Head of the American,2F033D865FABFC4352448C176155D488,data/raw/row2k\2017_head_of_the_american.pdf
