lon,lat,depth_m
-71.073679,42.363164,8.230
-71.073825,42.363098,8.230
-71.074153,42.363137,8.230
-71.074709,42.363011,8.230
-71.074954,42.362827,8.230
-71.075186,42.362948,8.230
-71.076957,42.357472,8.230
-71.076909,42.357413,8.230
-71.076896,42.357484,8.230
-71.077661,42.357682,8.230
-71.077594,42.357790,8.230
-71.077212,42.358097,8.230
-71.076872,42.358287,8.230
-71.076763,42.358376,8.230
-71.076581,42.358356,8.230
-71.076447,42.358478,8.230
-71.076590,42.358699,8.230
-71.076581,42.358797,8.230
-71.076437,42.358843,8.230
-71.076484,42.358987,8.230
-71.076415,42.359158,8.230
-71.076248,42.359383,8.230
-71.076156,42.359608,8.230
-71.075949,42.359771,8.230
-71.075903,42.359951,8.230
-71.075800,42.360059,8.230
-71.075796,42.360194,8.230
-71.075602,42.360275,8.230
-71.075427,42.360547,8.230
-71.075160,42.360552,8.230
-71.075075,42.360473,8.230
-71.075112,42.360220,8.230
-71.075356,42.360023,8.230
-71.075416,42.359608,8.230
-71.075761,42.359284,8.230
-71.076040,42.359023,8.230
-71.075981,42.358852,8.230
-71.075909,42.358726,8.230
-71.075972,42.358609,8.230
-71.076007,42.358438,8.230
-71.075982,42.358303,8.230
-71.076063,42.357898,8.230
-71.076121,42.357808,8.230
-71.076362,42.357693,8.230
-71.076608,42.357646,8.230
-71.076447,42.357556,8.230
-71.076171,42.357412,8.230
-71.076224,42.357304,8.230
-71.076658,42.357151,8.230
-71.076877,42.356944,8.230
-71.077268,42.356782,8.230
-71.077418,42.356803,8.230
-71.077587,42.356998,8.230
-71.077551,42.357223,8.230
-71.077490,42.357394,8.230
-71.077656,42.357619,8.230
-71.084923,42.355800,8.230
-71.084812,42.355885,8.230
-71.084193,42.355897,8.230
-71.084097,42.355989,8.230
-71.084153,42.356251,8.230
-71.083964,42.356431,8.230
-71.083610,42.356532,8.230
-71.083112,42.356467,8.230
-71.082772,42.356431,8.230
-71.082469,42.356359,8.230
-71.082242,42.356224,8.230
-71.082364,42.356089,8.230
-71.082488,42.355890,8.230
-71.082699,42.355928,8.230
-71.083100,42.355931,8.230
-71.083452,42.355880,8.230
-71.083512,42.355737,8.230
-71.083571,42.355539,8.230
-71.083865,42.355433,8.230
-71.084217,42.355543,8.230
-71.084642,42.355417,8.230
-71.084788,42.355438,8.230
-71.084940,42.355638,8.230
-71.086487,42.354089,8.230
-71.086342,42.354004,8.230
-71.086123,42.353910,8.230
-71.086147,42.353829,8.230
-71.086366,42.353799,8.230
-71.086502,42.353919,8.230
-71.089426,42.353784,8.230
-71.089292,42.353920,8.230
-71.089037,42.353927,8.230
-71.088645,42.354009,8.230
-71.088345,42.354124,8.230
-71.087823,42.354308,8.230
-71.087337,42.354496,8.230
-71.086851,42.354659,8.230
-71.086548,42.354718,8.230
-71.085807,42.354966,8.230
-71.085559,42.355206,8.230
-71.085451,42.355296,8.230
-71.085261,42.355200,8.230
-71.085169,42.355026,8.230
-71.085009,42.354891,8.230
-71.085419,42.354551,8.230
-71.085577,42.354294,8.230
-71.085820,42.354053,8.230
-71.086172,42.354060,8.230
-71.086298,42.354243,8.230
-71.086390,42.354302,8.230
-71.086669,42.354284,8.230
-71.086785,42.354162,8.230
-71.086704,42.354027,8.230
-71.086844,42.353712,8.230
-71.086964,42.353712,8.230
-71.087076,42.354000,8.230
-71.087240,42.354043,8.230
-71.087543,42.353974,8.230
-71.088317,42.353631,8.230
-71.088611,42.353451,8.230
-71.088855,42.353495,8.230
-71.089049,42.353449,8.230
-71.089328,42.353568,8.230
-71.089413,42.353703,8.230
-71.063457,42.368932,7.315
-71.063440,42.368872,7.315
-71.063483,42.368881,7.315
-71.064720,42.369017,7.315
-71.064586,42.369046,7.315
-71.064428,42.369148,7.315
-71.064125,42.369088,7.315
-71.063853,42.369034,7.315
-71.063882,42.368950,7.315
-71.064076,42.368951,7.315
-71.064647,42.368962,7.315
-71.062316,42.368561,7.315
-71.062474,42.368487,7.315
-71.062648,42.368557,7.315
-71.062461,42.368650,7.315
-71.071567,42.368931,7.315
-71.071407,42.368836,7.315
-71.071603,42.368799,7.315
-71.071688,42.368782,7.315
-71.065727,42.368841,7.315
-71.066431,42.368684,7.315
-71.067051,42.368649,7.315
-71.067141,42.368701,7.315
-71.066662,42.368833,7.315
-71.065982,42.368940,7.315
-71.068902,42.367396,7.315
-71.068787,42.367810,7.315
-71.068653,42.367917,7.315
-71.068400,42.368098,7.315
-71.068070,42.368496,7.315
-71.067779,42.368591,7.315
-71.067872,42.368422,7.315
-71.067815,42.368359,7.315
-71.067250,42.368395,7.315
-71.067318,42.368287,7.315
-71.067755,42.367954,7.315
-71.068240,42.367890,7.315
-71.068394,42.367765,7.315
-71.068782,42.367477,7.315
-71.071766,42.367063,7.315
-71.071725,42.367034,7.315
